"id","author.name","book.title","subgenre","year","year.cat","canon.cat","gender.cat","length","length.cat","counter","Author.birth","Author.death","GND"
"DEU002","Auerbach, Berthold","Der Lehnhold","foo",1854,"T1","low","m",66067,"medium",1,1812,1882,"http://d-nb.info/gnd/11865103X"
"DEU003","Ruppius, Otto","Der Pedlar","foo",1857,"T1","low","m",89800,"medium",1,1819,1864,"http://d-nb.info/gnd/116708859"
"DEU007","Stifter, Adalbert","Die Mappe meines Urgroßvaters","foo",1841,"T1","high","m",82220,"medium",1,1805,1868,"http://d-nb.info/gnd/118618156"
"DEU008","Auerbach, Berthold","Der Lautenbacher","foo",1843,"T1","low","m",31603,"short",1,1812,1882,"http://d-nb.info/gnd/11865103X"
"DEU009","Ruppius, Otto","Das Vermächtnis des Pedlars","foo",1859,"T1","low","m",97300,"medium",1,1819,1864,"http://d-nb.info/gnd/116708859"
"DEU010","Aston, Louise","Lydia","foo",1848,"T1","low","f",61819,"medium",1,1814,1871,"http://d-nb.info/gnd/118650769"
"DEU011","Freytag, Gustav","Soll und Haben","foo",1855,"T1","high","m",344948,"long",1,1816,1895,"http://d-nb.info/gnd/118535455"
"DEU012","Aston, Louise","Aus dem Leben einer Frau","foo",1847,"T1","high","f",27975,"short",1,1814,1871,"http://d-nb.info/gnd/118650769"
"DEU013","Auerbach, Berthold","Barfüßele","foo",1856,"T1","low","m",76008,"medium",1,1812,1882,"http://d-nb.info/gnd/11865103X"
"DEU015","Arnim, Bettina von","Die Günderode","foo",1840,"T1","high","f",176011,"long",1,1785,1859,"http://d-nb.info/gnd/118504185"
"DEU017","Stifter, Adalbert","Die Narrenburg","foo",1843,"T1","medium","m",41879,"short",1,1805,1868,"http://d-nb.info/gnd/118618156"
"DEU019","Stifter, Adalbert","Zwei Schwestern","foo",1846,"T1","medium","m",58315,"medium",1,1805,1868,"http://d-nb.info/gnd/118618156"
"DEU022","Arnim, Bettina von","Clemens Brentanos Frühlingskranz","foo",1844,"T1","high","f",108645,"long",1,1785,1859,"http://d-nb.info/gnd/118572393"
"DEU023","Stifter, Adalbert","Feldblumen","foo",1841,"T1","high","m",43934,"short",1,1805,1868,"http://d-nb.info/gnd/118618156"
"DEU026","Vischer, Friedrich Theodor","Auch Einer 2","foo",1879,"T2","high","m",96548,"medium",1,1807,1887,"http://d-nb.info/gnd/11862721X"
"DEU027","Ebner-Eschenbach, Marie von","Bozena","foo",1876,"T2","high","f",76679,"medium",1,1830,1916,"http://d-nb.info/gnd/118528661"
"DEU028","François, Louise von","Die letzte Reckenburgerin","foo",1871,"T2","medium","f",108606,"long",1,1817,1893,"http://d-nb.info/gnd/118692577"
"DEU029","Raabe, Wilhelm","Alte Nester","foo",1879,"T2","low","m",97670,"medium",1,1831,1910,"http://d-nb.info/gnd/118597442"
"DEU030","Freytag, Gustav","Die verlorene Handschrift","foo",1864,"T2","high","m",307798,"long",1,1816,1895,"http://d-nb.info/gnd/118535455"
"DEU031","Raabe, Wilhelm","Der Schüdderump","foo",1869,"T2","high","m",135524,"long",1,1831,1910,"http://d-nb.info/gnd/118692577"
"DEU033","François, Louise von","Die Geschichte meines Urgroßvaters","foo",1868,"T2","low","f",37948,"short",1,1817,1893,"http://d-nb.info/gnd/118692577"
"DEU034","Vischer, Friedrich Theodor","Auch Einer 1","foo",1879,"T2","high","m",98067,"medium",1,1807,1887,"http://d-nb.info/gnd/11862721X"
"DEU035","Fontane, Theodor","Vor dem Sturm","foo",1878,"T2","high","m",269471,"long",1,1819,1898,"http://d-nb.info/gnd/118534262"
"DEU037","Marlitt, Eugenie","Das Heideprinzeßchen","foo",1871,"T2","low","f",148356,"long",1,1825,1887,"http://d-nb.info/gnd/1014122880"
"DEU038","Raabe, Wilhelm","Der Hungerpastor","foo",1863,"T2","high","m",166341,"long",1,1831,1910,"http://d-nb.info/gnd/118692577"
"DEU039","Spielhagen, Friedrich","Problematische Naturen. Erste Abtheilung","foo",1861,"T2","low","m",225971,"long",1,1823,1911,"http://d-nb.info/gnd/118616196"
"DEU040","Marlitt, Eugenie","Goldelse","foo",1866,"T2","high","f",118440,"long",1,1825,1887,"http://d-nb.info/gnd/1014122880"
"DEU041","Marlitt, Eugenie","Das Geheimnis der alten Mamsell","foo",1867,"T2","low","f",105854,"long",1,1825,1887,"http://d-nb.info/gnd/1014122880"
"DEU043","Spielhagen, Friedrich","Hammer und Amboß","foo",1869,"T2","low","m",324738,"long",1,1823,1911,"http://d-nb.info/gnd/118616196"
"DEU045","Stifter, Adalbert","Witiko","foo",1865,"T2","high","m",337846,"long",1,1805,1868,"http://d-nb.info/gnd/118618156"
"DEU046","Fontane, Theodor","Grete Minde","foo",1879,"T2","high","m",39821,"short",1,1819,1898,"http://d-nb.info/gnd/118534262"
"DEU047","François, Louise von","Judith die Kluswirtin","foo",1862,"T2","low","f",54773,"medium",1,1817,1893,"http://d-nb.info/gnd/118692577"
